experiment_id,scenario_id,duration,total_drones,hostile_drones,radar_detections,audio_detections,false_alarms,engage_commands,intercept_attempts,intercept_successes,intercept_failures,success_rate,avg_detection_delay,avg_engagement_delay
1,1,0.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0
1,1,0.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0
1,1,0.0,3,3,0,0,0,0,0,0,0,0,0.0,0.0
1,1,74.90000000000002,3,3,208,0,1,0,0,0,0,0,1.0999999999999999,0.0
1,1,0.0,3,3,1797,0,9,0,0,0,0,0,1.0999999999999999,0.0
gen_17281,gen_17281,0.0,2,2,43,0,0,1,0,1,0,0,0.9999999999999999,4.999999999999995
gen_1764582814104,gen_1764582814104,0.0,9,9,0,0,0,0,0,0,0,0,0.0,0.0
gen_21254,gen_21254,0.0,4,4,66,0,1,2,0,1,1,0,1.5000000000000002,3.0
gen_34315,gen_34315,0.0,1,1,0,0,0,0,0,0,0,0,0.0,0.0
gen_39680,gen_39680,0.0,12,12,0,0,0,0,0,0,0,0,0.0,0.0
gen_4340,gen_4340,0.0,2,2,0,0,0,0,0,0,0,0,0.0,0.0
gen_48117,gen_48117,0.0,7,7,133,0,0,5,0,0,0,0,1.4857142857142858,3.8999999999999977
gen_49161,gen_49161,0.0,6,6,0,0,0,0,0,0,0,0,0.0,0.0
gen_56057,gen_56057,0.0,10,10,196,0,0,4,0,1,3,0,1.44,12.600000000000037
gen_66190,gen_66190,0.0,13,13,0,0,0,0,0,0,0,0,0.0,0.0
gen_94435,gen_94435,0.0,7,7,0,0,0,0,0,0,0,0,0.0,0.0
gen_94498,gen_94498,0.0,10,10,297,0,2,3,0,1,2,0,0.7999999999999999,6.666666666666664
